,회사명,거래소코드,회계년도,설립일,WW지수,WWC변수,부채,MWW지수,MK지수,SA지수,매출액증가율차분
2841,(주)스튜디오산타클로스엔터테인먼트,204630,2016,2014,-46.52397778681709,-46.52397778681709,282.0,-46.51362988627716,-46.51362988627716,-2.8333556588704516,11.600289839852879
2842,(주)스튜디오산타클로스엔터테인먼트,204630,2017,2014,-44.95605163003965,-44.95605163003965,691.0,-44.9295033946164,-44.9295033946164,-2.802689236984784,24.55035365397534
2843,(주)스튜디오산타클로스엔터테인먼트,204630,2018,2014,-50.31004131303208,-50.31004131303208,4740.0,-50.162294728843385,-50.15158845462682,-2.747614211745482,-3.377414705020676
2844,(주)스튜디오산타클로스엔터테인먼트,204630,2019,2014,-48.88778365182938,-48.88778365182938,5187.0,-48.76230020812077,-48.756339943220105,-2.641950728818114,25.51594304685574
2845,(주)스튜디오산타클로스엔터테인먼트,204630,2020,2014,-48.70486586476822,-48.70486586476822,7564.0,-48.44880628453802,-48.44880628453802,-2.656539477402709,-33.17710755738816
2846,(주)스튜디오산타클로스엔터테인먼트,204630,2021,2014,-53.40451416643928,-53.40451416643928,28067.0,-52.888508913648735,-52.888508913648735,-2.4710611300638794,106.35154382971119
2847,(주)스틸플라워,087220,2012,2000,-63.58116595301343,-4470257.381165953,159152.0,-63.11333499869877,-62.85905130437395,-1.9289200529404469,2.071940683484683
2848,(주)스틸플라워,087220,2013,2000,-54.65973161388763,-54.65973161388763,171750.0,-54.075687144373994,-53.820824428531274,-1.9022608970527437,-40.37148815782763
2849,(주)스틸플라워,087220,2014,2000,-56.35484884066633,-56.35484884066633,160351.0,-55.54589542592766,-55.411892598701854,-1.8810587718950518,35.619955603780134
2850,(주)스틸플라워,087220,2015,2000,-55.18035043025815,-55.18035043025815,145118.0,-54.273824192660655,-54.14960283117076,-1.8994275858087097,-25.32048996869548
2851,(주)스틸플라워,087220,2016,2000,-53.49681101430329,-53.49681101430329,132687.0,-52.49181548908658,-52.38310457763464,-1.9077484240443296,-24.488723265226948
2852,(주)스틸플라워,087220,2017,2000,-50.473313896122626,-50.473313896122626,119691.0,-49.238045499837284,-49.10801593251957,-1.9624383177845313,-51.26710591050918
2853,(주)스페코,013810,2012,1979,-51.94993076187022,-51.94993076187022,40832.0,-50.95230770388367,-50.94612388546413,-1.5057695470313404,29.43520605193844
2854,(주)스페코,013810,2013,1979,-48.31949756242634,-48.31949756242634,40211.0,-47.50117093616691,-47.492865370449124,-1.4226184615611228,-28.97996316407381
2855,(주)스페코,013810,2014,1979,-53.01408008960298,-53.01408008960298,47780.0,-52.303198192516795,-52.26985271824526,-1.3181592022070074,39.35133275639938
2856,(주)스페코,013810,2015,1979,-58.09157366329273,-4283445.891573664,50951.0,-57.47138161148754,-57.38600061264073,-1.2650831145189012,-0.6997802024749484
2857,(주)스페코,013810,2016,1979,-48.30843112616176,-48.30843112616176,37843.0,-47.70141009041041,-47.63009606343183,-1.2905667160798449,-42.16907424019261
2858,(주)스페코,013810,2017,1979,-45.39979666626876,-45.39979666626876,37138.0,-44.659696802446696,-44.636395243965836,-1.2676812929355603,-68.66047988727352
