회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)대교,019680,2019/12,85,교육 서비스업
(주)대교,019680,2020/12,85,교육 서비스업
(주)대교,019680,2021/12,85,교육 서비스업
(주)대구백화점,006370,2011/03,47,도매 및 소매업
(주)대구백화점,006370,2012/03,47,도매 및 소매업
(주)대구백화점,006370,2013/03,47,도매 및 소매업
(주)대구백화점,006370,2014/03,47,도매 및 소매업
(주)대구백화점,006370,2015/03,47,도매 및 소매업
(주)대구백화점,006370,2016/03,47,도매 및 소매업
(주)대구백화점,006370,2017/03,47,도매 및 소매업
(주)대구백화점,006370,2018/12,47,도매 및 소매업
(주)대구백화점,006370,2019/12,47,도매 및 소매업
(주)대구백화점,006370,2020/12,47,도매 및 소매업
(주)대구백화점,006370,2021/12,47,도매 및 소매업
(주)대덕,008060,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2013/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2014/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2015/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2016/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2017/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2018/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2019/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2020/12,71,"전문, 과학 및 기술 서비스업"
(주)대덕,008060,2021/12,71,"전문, 과학 및 기술 서비스업"
(주)대동,000490,2011/12,29,제조업
(주)대동,000490,2012/12,29,제조업
(주)대동,000490,2013/12,29,제조업
(주)대동,000490,2014/12,29,제조업
(주)대동,000490,2015/12,29,제조업
(주)대동,000490,2016/12,29,제조업
(주)대동,000490,2017/12,29,제조업
(주)대동,000490,2018/12,29,제조업
(주)대동,000490,2019/12,29,제조업
(주)대동,000490,2020/12,29,제조업
(주)대동,000490,2021/12,29,제조업
(주)대성합동지주,005620,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)대성합동지주,005620,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)대성합동지주,005620,2013/12,71,"전문, 과학 및 기술 서비스업"
(주)대성합동지주,005620,2014/12,71,"전문, 과학 및 기술 서비스업"
(주)대성합동지주,005620,2015/12,71,"전문, 과학 및 기술 서비스업"
(주)대성합동지주,005620,2016/12,71,"전문, 과학 및 기술 서비스업"
